appid,name,primary_genre,price_usd,release_year,reviews_total,log_reviews
8000,Dead Space™ 2,Action,19.99,2011.0,23026.0,10.04442271945762
8009,Medal of Honor™,Action,19.99,2010.0,6228.0,8.736971085254146
8010,Dragon Age: Origins - Ultimate Edition,RPG,29.99,2010.0,26679.0,10.19166950002956
8040,The Sims™ 3,Simulation,19.99,2011.0,30176.0,10.314835323802448
8060,The Sims™ 3 World Adventures,Simulation,19.99,2011.0,108.0,4.6913478822291435
8080,The Sims™ 3 Late Night,Simulation,19.99,2011.0,119.0,4.787491742782046
8140,The Sims™ 3 Generations,Simulation,19.99,2011.0,111.0,4.718498871295094
8160,The Sims™ 3 Pets,Simulation,19.99,2011.0,328.0,5.796057750765372
8179,LIMBO,Action,0.99,2011.0,37820.0,10.540619782899379
8190,Silent Hunter 5®: Battle of the Atlantic,Simulation,9.99,2010.0,2425.0,7.793999089503996
8330,Assassin’s Creed® Brotherhood,Action,19.99,2011.0,22691.0,10.029767718446458
8400,Might & Magic: Heroes VI,RPG,9.99,2011.0,8317.0,9.026177120302856
8500,Anno 2070™,Strategy,19.99,2011.0,11395.0,9.341017695617799
8600,Mount & Blade: Warband,Action,19.99,2010.0,132303.0,11.792857583961949
8610,Mount & Blade: Warband - Napoleonic Wars,Action,9.99,2012.0,3102.0,8.04012466444838
8630,Mount & Blade: With Fire & Sword,Action,9.99,2011.0,10956.0,9.301733800405394
8640,Ship Simulator Extremes,Simulation,19.99,2010.0,1698.0,7.4377951216719325
8710,Greed Corp,Strategy,9.99,2010.0,367.0,5.908082938168931
8720,Hotel Dash™ Suite Success™,Casual,6.99,2010.0,106.0,4.672828834461906
8730,Commander: Conquest of the Americas,Strategy,9.99,2010.0,144.0,4.976733742420574
8770,Pirates of Black Cove,Strategy,9.99,2011.0,117.0,4.770684624465665
8840,Borderlands 2,Action,19.99,2012.0,213331.0,12.270604916648214
8850,Aliens: Colonial Marines Collection,Action,29.99,2012.0,7506.0,8.923591197573002
8859,Beat Hazard,Action,9.99,2010.0,5035.0,8.524367395164237
8900,Flight of the Icarus,Action,4.99,2010.0,222.0,5.407171771460119
8910,CreaVures,Indie,4.99,2011.0,104.0,4.653960350157523
8950,Nimbus,Indie,9.99,2010.0,182.0,5.209486152841421
8970,Borderlands: The Secret Armory of General Knoxx,Action,29.99,2010.0,365.0,5.902633333401366
8989,Mafia II (Classic),Action,29.99,2011.0,34694.0,10.45435086333365
9060,Burn Zombie Burn!,Action,9.99,2010.0,118.0,4.77912349311153
9350,Mystery Case Files: Ravenhearst®,Adventure,9.99,2010.0,142.0,4.962844630259907
9360,Mystery Case Files: Return to Ravenhearst™,Adventure,9.99,2010.0,125.0,4.836281906951478
9370,My Tribe,Casual,9.99,2010.0,126.0,4.844187086458591
9440,Drawn®: The Painted Tower,Adventure,9.99,2011.0,181.0,5.204006687076795
9450,Flotilla,Adventure,9.99,2010.0,194.0,5.272999558563747
9480,Atom Zombie Smasher,Indie,9.99,2011.0,1060.0,6.966967138613983
9500,Homefront,Action,19.99,2011.0,3836.0,8.252446090246952
9510,Red Faction®: Armageddon™,Action,19.99,2011.0,2536.0,7.838737559599282
9730,MX vs. ATV Reflex,Racing,19.99,2010.0,2752.0,7.920446505142607
9740,"Warhammer 40,000: Space Marine - Anniversary Edition",Action,9.99,2011.0,16887.0,9.734358589528156
9850,Saints Row: The Third,Action,2.49,2011.0,48176.0,10.782637007729601
9907,Saints Row The Third - Genkibowl VII,Action,0.97,2012.0,113.0,4.736198448394496
9908,Saints Row: The Third - Gangstas in Space,Action,0.97,2012.0,128.0,4.859812404361672
9910,Saints Row: The Third - The Trouble with Clones DLC,Action,0.97,2012.0,153.0,5.0369526024136295
9949,Saints Row: The Third Invincible Pack,Action,0.98,2011.0,117.0,4.770684624465665
9980,Saints Row: The Third - Unlockable Pack,Action,0.99,2012.0,114.0,4.74493212836325
10440,NyxQuest: Kindred Spirits,Action,2.99,2010.0,114.0,4.74493212836325
10470,Puzzle Dimension,Casual,9.99,2010.0,443.0,6.095824562432225
10490,Amnesia: The Dark Descent,Action,19.99,2010.0,19510.0,9.878733688069898
10510,Tropico 3: Absolute Power,Simulation,9.99,2010.0,411.0,6.021023349349527
10520,Patrician IV,Strategy,14.99,2010.0,543.0,6.298949246855942
10540,Dungeons,RPG,1.99,2011.0,673.0,6.513230110912307
10560,The First Templar - Steam Special Edition,Action,9.99,2011.0,519.0,6.253828811575473
10570,Tropico 4,Simulation,14.99,2011.0,8065.0,8.995412975433313
10602,Who's That Flying?!,Action,5.99,2011.0,131.0,4.882801922586371
10604,Patrician IV: Rise of a Dynasty,Strategy,9.99,2011.0,458.0,6.129050210060545
